Study Title,Status,Date of publication,DOI,Affiliation,Country of 1st author,Source of funding,Registration,Registration database,Protocol,Number of database(s),Database(s) name(s),Database(s) structured,Type of database,Database(s) country(s),Aim of study,Causal contrast,Number of primary outcome(s),Name of primary outcome(s),Type of primary outcome(s),Number of interventional arm(s),Number of control(s),Medical speciality,Name of primary (first) intervention,Type of intervention,ATC class,Comparator type,Comparator name,Study design,Statistical design,Sample size,High-dimensional method,Validation study,Position of the 1st/main hdPS analysis,Number of data dimensions,Temporal window,Included dimensions,Other dimensions,Diagnoses coding system,Procedures coding system,Drugs coding system,Granularity of codes,Other granularity,Prevalence filter,Number of most prevalent codes,Recurrence assessment,Covariates prioritization method,Number of predefined covariates,Number of prioritized covariates,Inclusion of post-baseline predefined covariates,Model used for building PS,Other model,Trimming,PS score main use,PS score other use,Additional variables used for,Reported list of included hdPS variables,Main or first intervention effect model,"Intervention, nb of eligible patients","Control, nb of eligible patients",Exclusion of eligible patients in the analysis,Use of a flowchart,"Intervention, nb of patients analyzed","Control, nb of patients analyzed",Reporting of crude analysis,Diagnostics for differences,hdPS specific sensitivity analysis,hdPS specific diagnostics,Investigator excluded variables,Transparency of hdPS reporting,Comparison with other methods (non hdPS),Method details,"Other, details",Use of a reporting guideline,Availability of code,Availability of data,Statistical software used,Aim ROBINS,Results assessed ROBINS,Bias due to confounding,Bias in selection of participants,Bias in classification of interventions,Bias due to deviations from intended interventions,Bias due to missing data,Bias in measurement of outcomes,Bias in selection of the reported result,Overall bias
Estimation of high‐dimensional propensity scores with multiple exposure levels,Done,11/8/2019,10.1002/pds.4890,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD + HES,CPRD (+HES),Both linked,UK,Efficacy,Per-protocol,1,Composite of cardiovascular event,Time to event,2,2,Addiction Medicine,varenicline,Pharmacological,N07BA03,Active comparator,Bupropion,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient prescriptions,Outpatient procedures (including tests),Outpatient diagnoses,Other,Administrative data",demographic characteristics / general practitioner practice characteristics,Not reported,Not reported,Not reported,,,Yes,500,Schneeweiss citation,Schneeweiss citation,28,500,No,Logistic regression,,Yes,Adjustment on deciles (stratification),,To adjust with hdPS (stratas or not),No,Cox regression,68468,9931,Unclear,Yes,68468,9931,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,Not reported,Starting and adhering (PP),HR 1,Moderate,Low,Low,Serious,Low,Low,NI,Serious
Examining the risk of depression or self- harm associated with incretin-based  therapies used to manage  hyperglycaemia in patients with type 2  diabetes: a cohort study using the UK  Clinical Practice Research Datalink,Done,31/12/2018,10.1136/bmjopen-2018-023830,Unclear,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Safety,Per-protocol,1,composite of new depression or self-harm,Time to event,2,1,Diabetology,DPP4i,Pharmacological,A10BH,Active comparator,sulfonylureas,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,365,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,19,40,No,Logistic regression,,Yes,Adjustment on deciles (stratification),Matching,To adjust with hdPS (stratas or not),No,Cox regression,6214,22653,Yes,Yes,6206,22128,Yes,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,R,Starting and adhering (PP),HR 1.26,Serious,Low,Low,Serious,NI,Low,NI,Serious
Eye drops for dry eye disease during pregnancy and adverse neonatal outcomes: high-dimensional propensity score analyses,Done,29/8/2021,10.1080/09286586.2021.1971263,Yes,Japan,Public,Not reported,,Not reported,1,JMDC Claims Database,Other,PCD,Japan,Safety,ITT,,congenital anomalies / preterm birth / low birthweight/ composite,Discrete,3,1,Ophtalmology,hyaluronate 0.1%,Pharmacological,S01KA01,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Secondary analysis,4,180,"Outpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests),Inpatient diagnoses",,ICD-10,Not reported,ATC,,,Yes,500,Schneeweiss citation,Schneeweiss citation,20,500,Yes,Logistic regression,,No,Adjustment,,No additional variables used with/before/after hdPS,No,Poisson regression,544,3872,No,Yes,544,3872,No,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included",Yes,Propensity score with predefined variables,,Not reported,No,No,Not reported,Assignment (ITT),RD 0.4,Serious,Serious,Low,Serious,NI,Low,NI,Serious
"Fixed-dose combination antihypertensive medications, adherence, and clinical outcomes: A population-based retrospective cohort study",Done,11/6/2018,10.1371/journal.pmed.1002584,Yes,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Both,"Per-protocol,ITT",1,"composite of all-cause death and hospitalization for acute myocardial infarction, heart failure or stroke",Time to event,1,1,Cardiology,multipill hypertensive,Pharmacological,C02,Active comparator,fixed dose combination,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,7,365,"Outpatient drug dispensation,Outpatient diagnoses,Medical encounters,Inpatient diagnoses,Inpatient procedures (including tests)",emergency diagnoses / emergency procedures,,,,,,Yes,200,Schneeweiss citation,Schneeweiss citation,7,500,No,Logistic regression,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,23976,7532,Yes,Yes,6675,6675,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",Yes,Negative controls,,"RECORD,STROBE",Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.06,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Fluoroquinolone use for uncomplicated urinary tract infections in women: a retrospective cohort study,Done,23/10/2019,10.1016/j.cmi.2019.10.016,Yes,Canada,Public,Not reported,,Mentioned but not available,6,CNODES,CNODES network databases,PCD,Canada,Efficacy,ITT,1,repeat outpatient visits for UTI / emergency department visits for UTI / hospitalizations for UTI / repeat antibiotic dispensation,Time to event,1,1,Infectious Disease Medicine,fluoroquinolone,Pharmacological,J01MA,Active comparator,non- fluoroquinolone,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient diagnoses,Medical encounters,Outpatient drug dispensation,Inpatient diagnoses,Inpatient procedures (including tests)",,"ICD-10,ICD-9",,,,,,,Schneeweiss citation,Bross formula,2,500,No,Logistic regression,,Not reported,Weighting,,,No,Logistic regression,,,,,,,No,Not reported,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included",No,,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),OR 0.85,Moderate,Low,Low,Low,NI,Moderate,NI,Moderate
Gastrointestinal bleeding and intracranial hemorrhage in concomitant users of warfarin and antihyperlipidemics,Done,12/11/2016,10.1016/j.ijcard.2016.11.245,Yes,USA,Public,Not reported,,Not reported,1,Medicaid,Medicaid or Medicare,PCD,USA,Safety,Per-protocol,1,composite of GIB or ICH,Time to event,7,1,Cardiology,Atorvastatin + warfarin,Pharmacological,C10AA05,Active comparator,Pravastatin + warfarin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,9,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests)",other settings diagnoses / procedures,ICD-9,"CPT,HCPCS",Generic drug names,"3 digit ICD,5 digit CPT,Other",,Yes,200,None,Bross formula,24,654,No,Logistic regression,,Not reported,Adjustment,,No additional variables used with/before/after hdPS,Yes,Cox regression,79391,20238,Unclear,No,,,Yes,Not reported,,,Yes,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.99,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
High-dimensional propensity scores improved the control of indication bias in surgical comparative effectiveness studies,Done,14/10/2020,10.1016/j.jclinepi.2020.10.003,Yes,France,Public,Not reported,,Not reported,1,PMSI,Other,PCD,France,Both,ITT,1,death,Time to event,1,1,General Surgery,TAVI,Not-pharmacological,,Active comparator,SAVR,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,2,365,"Inpatient diagnoses,Inpatient procedures (including tests)",,ICD-10,CCAM,,,,,,"""Once, sporadic, frequent""",Bross formula,44,300,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Logistic regression,29995,29063,Yes,Yes,7157,7157,No,Standardized Difference,Different total number of covariates,,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.53,Moderate,Low,Low,Low,NI,Low,NI,Moderate
High-dimensional versus conventional propensity scores in a comparative effectiveness study of coxibs and reduced upper gastrointestinal complications,Done,6/6/2012,10.1007/s00228-012-1334-2,Yes,Germany,Public,Not reported,,Not reported,1,GePARD,GePaRD,PCD,Germany,Safety,Per-protocol,1,upper gastrointestinal complications,Discrete,1,1,Rheumatology,Coxib,Pharmacological,M01AH,Active comparator,tNSAID,New-user design,Not reported,Not reported,hdPS,No,Sensitivity analysis,6,180,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests),Disease specific",Outpatient surgery codes,ICD-10,Other,ATC,"3 digit ICD,Other","4 digit OPS, 5 digit EBM, full ATC",,,Schneeweiss citation,Bross formula,4,200,No,Logistic regression,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Poisson regression,37281,2104614,Yes,Yes,37281,37281,Yes,Not reported,Different total number of covariates,Sequential addition of variables plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),UGIC RR 0.68,Moderate,Low,Low,Serious,NI,Low,NI,Serious
"Higher potency statins and the risk of new diabetes: multicentre, observational study of administrative databases",Done,29/5/2014,10.1136/bmj.g3244,Yes,Canada,Public,Not reported,,Mentioned but not available,8,Alberta / Manitoba / Nova Scotia / Ontario / Quebec / Saskatchewan / CPRD / MarketScan,"CNODES network databases,Truven Marketscan,CPRD (+HES)","PCD,EMR / Registry",Canada / UK / USA,Safety,Per-protocol,1,first occurrence of a hospitalisation with a principal or secondary diagnosis for diabetes,Binary,1,1,Cardiology,Higher potency statins,Pharmacological,C10AA,Active comparator,Lower potency statins,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,9,500,No,Logistic regression,,Yes,Adjustment on deciles (stratification),,"To match before the hdPS,To adjust after hdPS matching/weighting",No,Logistic regression,89077,47889,Yes,No,30843,30843,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),RR 1.15,Moderate,Low,Low,Moderate,NI,Moderate,NI,Moderate
Hospitalization for Hemorrhage Among Warfarin Recipients Prescribed Amiodarone,Done,1/8/2013,10.1016/j.amjcard.2013.03.051,Yes,Canada,Public,Not reported,,Not reported,1,ODB + DAD + OHIP + RPDB,Ontario health databases,PCD,Canada,Safety,ITT,1,Hospitalization for hemorrhage within 30 days,Time to event,1,1,Cardiology,Amiodarone,Pharmacological,C01BD01,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests)",,"ICD-10,ICD-9",Not reported,Not reported,,,Yes,200,Schneeweiss citation,Bross formula,7,500,No,Logistic regression,,Not reported,Matching,,To match with the hdPS,No,Cox regression,11665,48832,Yes,No,7124,7124,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),Hemorrhage 2.45,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Impact of anticoagulant choice on hospitalized bleeding risk when treating cancer-associated venous thromboembolism,Done,22/8/2018,10.1111/jth.14303,Yes,USA,Public,Not reported,,Mentioned but not available,1,MarketScan + Medicare,Medicaid or Medicare,PCD,USA,Safety,ITT,1,hospitalized bleeding events,Time to event,3,2,Cardiology,LMWH,Pharmacological,B01AB,Active comparator,warfarin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,90,Outpatient drug dispensation,,,,,,,Yes,200,Schneeweiss citation,Schneeweiss citation,3,500,No,Schneeweiss citation,,Not reported,Adjustment,,,No,Cox regression,8803,14833,Unclear,No,,,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.97,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Incretin based drugs and risk of acute pancreatitis in patients with type 2 diabetes: cohort study,Done,24/4/2014,10.1136/bmj.g2780,Yes,Canada,Public,Not reported,,Not reported,1,CPRD + HES,CPRD (+HES),Both linked,UK,Safety,"ITT,Per-protocol",1,acute pancreatitis,Time to event,1,1,Diabetology,Incretin based drugs,Pharmacological,A10BH / A10BJ,Active comparator,Sulfonylureas,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient prescriptions,Procedures (all),Diagnoses (all),Administrative data",procedures / diagnoses / disease history / administrative information,"Read Codes,ICD-10",Other,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,13,500,No,Logistic regression,,Yes,Adjustment on deciles (stratification),Matching,To adjust with hdPS (stratas or not),No,Cox regression,20951,52656,No,Yes,20748,51712,Yes,C-statistic,,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.00,Moderate,Low,Low,Serious,Moderate,Low,Serious,Serious
Infant Respiratory Outcomes Associated with Prenatal Exposure to Maternal 2009 A/H1N1 Influenza Vaccination,Done,3/8/2016,10.1371/journal.pone.0160342,Yes,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Safety,ITT,1,infant influenza,Discrete,1,1,Infectious Disease Medicine,2009 A/H1N1 vaccination,Pharmacological,J07BB02,Standard care,Unexposed,New-user design,Not reported,No,hdPS,No,Primary analysis,,,Unclear,,,,,,,,,Not reported,Not reported,13,500,No,Not reported,,Not reported,Adjustment on deciles (stratification),,,No,Poisson regression,36033,81302,Unclear,No,,,Yes,Standardized Difference,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),IRR 1.05,Moderate,Low,Low,Low,Moderate,Moderate,NI,Moderate
"Kidney, Cardiac, and Safety Outcomes Associated With α-Blockers in Patients With CKD: A Population-Based Cohort Study",Done,11/9/2020,10.1053/ j.ajkd.2020.07.018,Unclear,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Both,"ITT,Per-protocol",8,eGFR decline / kidney replacement therapy / cardiac events / all-cause mortality / hypotension / syncope / falls / fractures,Time to event,1,1,Cardiology,alphablocker,Pharmacological,C02CA,Active comparator,non AB blood pressure lowering medication,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Emergency visits (all),Inpatient procedures (including tests),Inpatient diagnoses",,ICD-10,Other,Generic drug names,"3 digit ICD,Generic drug name",,Yes,200,"""Once, sporadic, frequent""",Bross formula,6,201,No,Logistic regression,,Not reported,Matching,,To match with the hdPS,Yes,Fine-Gray,16511,364609,Yes,Yes,16088,16088,No,Standardized Difference,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Negative controls,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.14,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Long-Acting Bronchodilator Initiation in COPD and the Risk of Adverse Cardiopulmonary Events,Done,1/1/2017,10.1016/j.chest.2016.08.001,Yes,Canada,"Public,Private",Not reported,,Mentioned but not available,1,CPRD + HES,CPRD (+HES),Both linked,UK,Safety,"Per-protocol,ITT",5,myocardial infarction / heart failure / stroke / arrhythmia / pneumonia,Time to event,1,1,Pulmonary Medicine,Tiotropium,Pharmacological,R03BB04,Active comparator,LABA,New-user design,Not reported,No,hdPS,No,Primary analysis,5,365,"Procedures (all),Diagnoses (all),Drugs (all),Symptoms",signs / symptoms,,,,,,,,Schneeweiss citation,Schneeweiss citation,7,500,No,Logistic regression,,Not reported,Matching,,To adjust after hdPS matching/weighting,No,Cox regression,26442,88955,Yes,Yes,26442,26442,No,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.10,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Long-term Outcomes Associated With Implantable Cardioverter Defibrillator in Adults With Chronic Kidney Disease,Done,5/2/2018,10.1001/jamainternmed.2017.8462,Yes,USA,Public,Not reported,,Not reported,1,Kaiser Permanente,Kaiser Permanente,Both linked,USA,Both,ITT,3,all-cause mortality / heart failure hospitalizations / any-cause hospitalizations,Time to event,1,1,Cardiology,ICD,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,,"Hospitalizations (all),Procedures (all),Diagnoses (all),Drugs (all),Lab records (all),Medical encounters,Other,Administrative data",admin,,,,,,Yes,200,"""Once, sporadic, frequent""",Bross formula,,500,No,Logistic regression,,Not reported,Matching,,"To match with the hdPS,To adjust after hdPS matching/weighting",No,Cox regression,3312,15545,Yes,Yes,1556,4321,No,Standardized Difference,,,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.09,Moderate,Moderate,Low,Low,NI,Low,NI,Moderate
Metformin versus sulphonylureas for new onset atrial fibrillation  and stroke in type 2 diabetes mellitus: a population‑based study,Done,3/2/2022,10.1007/s00592-021-01841-4,Yes,UK,Public,Not reported,,Not reported,1,Clinical Data Analysis and Reporting System (CDARS),Other,Hospital database,Hong Kong,Safety,Unclear,4,new-onset AF / new-onset stroke / cardiovascular mortality / all-cause mortality,Time to event,1,1,Diabetology,Sulphonylurea,Pharmacological,A10BB,Active comparator,Metformin,Other,Not reported,Not reported,hdPS,No,Secondary analysis,,,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,,,,Schneeweiss citation,,,Matching,,,,Cox regression,,,Unclear,Yes,,,Yes,Not reported,,,,Specify software,Yes,"Multivariable analysis on predefined variables,Propensity score with predefined variables",,Not reported,Not reported,On demand,R,Assignment (ITT),HR 3.56,Serious,Serious,Serious,Low,NI,Low,NI,Serious
Near-Real-Time Monitoring of New Drugs: An Application Comparing Prasugrel Versus Clopidogrel,Done,8/2/2014,10.1007/s40264-014-0136-0,Yes,USA,"Private,Public",Not reported,,Not reported,1,HealthCore Integrated Research Database,Other US commercial,PCD,USA,Both,Per-protocol,5,MI hospitalization / hospitalization for ischemic stroke / hospitalization for hemorrhagic stroke / hospitalization for severe upper gastrointestinal bleed / death from any cause,Time to event,1,1,Cardiology,Prasugrel,Pharmacological,B01AC22,Active comparator,clopidogrel,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,,"Drugs (all),Procedures (all),Diagnoses (all)",drug / procedure / diagnosis,ICD-9,CPT,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,27,,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Poisson regression,1282,8263,Yes,Yes,1255,1255,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),Rate difference -22.42,Moderate,Low,Low,Serious,NI,Low,Serious,Serious
Nonsteroidal anti-inflammatory drug choice and adverse outcomes in clopidogrel users: A retrospective cohort study,Done,14/3/2018,10.1371/journal.pone.0193800,Yes,USA,Public,Not reported,,Not reported,1,Medicaid,Medicaid or Medicare,PCD,USA,Safety,Per-protocol,3,all-cause mortality / composite AMI-ischemic stroke / composite GIB/ICH,Time to event,9,1,Rheumatology,celecoxib,Pharmacological,L01XX33,Active comparator,ibuprofen,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,9,365,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests),Other",other settings,ICD-9,"CPT,HCPCS",Generic drug names,"3 digit ICD,5 digit CPT,Generic drug name",,Yes,200,None,Bross formula,135,596,No,Logistic regression,,Not reported,Adjustment,,To adjust with hdPS (stratas or not),Yes,Cox regression,69779,66317,No,Yes,,,Yes,Standardized Difference,,Inspection of selected variables,Yes,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.28,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Oral anticoagulation therapy and subsequent risk of venous thromboembolism in atrial fibrillation patients,Done,3/12/2018,10.1080/03007995.2018.1541445,Yes,USA,Public,Not reported,,Not reported,1,MarketScan + Medicare,Truven Marketscan,PCD,USA,Efficacy,ITT,1,VTE,Time to event,7,1,Cardiology,DOAC,Pharmacological,B01AF,Active comparator,VKA,New-user design,Not reported,No,hdPS,No,Primary analysis,5,,"Inpatient diagnoses,Outpatient diagnoses,Outpatient drug dispensation,Outpatient procedures (including tests),Inpatient procedures (including tests)",,Not reported,Not reported,Not reported,,,Yes,200,Schneeweiss citation,Bross formula,35,500,No,Logistic regression,,Not reported,Matching,,To match with the hdPS,No,Cox regression,28089,41592,Yes,No,27065,27065,No,Not reported,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,On demand,SAS,Assignment (ITT),HR 0.55,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Outcomes Associated With Early Preventive Dental Care Among Medicaid-Enrolled Children in Alabama,Done,27/2/2017,10.1001/jamapediatrics.2016.4514,No,USA,Public,Not reported,,Not reported,1,Alabama Medicaid,Medicaid or Medicare,PCD,USA,Efficacy,ITT,1,annual caries-related visits,Binary,1,1,Odontology,Received Preventive Care,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,730,"Outpatient diagnoses,Outpatient drug dispensation,Inpatient diagnoses,Outpatient procedures (including tests)",,ICD-9,Not reported,Other,,,,,Schneeweiss citation,Schneeweiss citation,3,500,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Logistic regression,,,Unclear,No,,,No,Standardized Difference,,Inspection of selected variables,Yes,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),Beta 0.71,Moderate,Moderate,Serious,Low,NI,Serious,NI,Serious
Performance of the High-dimensional Propensity Score in a Nordic Healthcare Model,Done,9/2/2017,10.1111/bcpt.12716,Yes,Denmark,Not reported,Not reported,,Not reported,1,Danish National Prescription Register + Patient Register + Civil registration,Other,EMR / Registry,Denmark,Safety,ITT,1,upper gastrointestinal bleeding,Time to event,1,1,Rheumatology,Coxib,Pharmacological,M01AH,Active comparator,tNSAID,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,2,180,"Diagnoses (all),Drugs (all)",Diagnoses / Drugs,ICD-10,,ATC,Other,4-digit ICD / full ATC,Yes,500,Schneeweiss citation,Association with outcome,11,500,No,Logistic regression,,Yes,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,110285,575980,Yes,No,,,Yes,Not reported,"Different total number of covariates,Different prioritization",Inspection of selected variables,Not reported,"Specify data dimensions,Description parameters for feature generation,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software,Specify covariate priorisation method",Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,Not reported,Stata,Assignment (ITT),HR 0.96,Moderate,Low,Low,Low,NI,NI,Low,Moderate
Prenatal antibiotic exposure and risk of attention-deficit/hyperactivity disorder: a population-based cohort study,Done,19/5/2020,10.1503/cmaj.190883,Unclear,Canada,Public,Not reported,,Not reported,1,Manitoba Centre for Health Policy,Other canadian databases,EMR / Registry,Canada,Safety,ITT,1,Diagnosis of ADHD,Time to event,1,1,Obstetrics,Antibiotic exposure during pregnancy,Pharmacological,J01,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests)",,"ICD-10,ICD-9",Not reported,ATC,,,Yes,200,"""Once, sporadic, frequent""",Schneeweiss citation,8,500,No,Schneeweiss citation,,Not reported,Matching,,To adjust after hdPS matching/weighting,No,Cox regression,117051,70554,Yes,Yes,64837,64837,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify total number of covariates included,Specify software",Yes,Negative controls,,Not reported,,,SAS,Assignment (ITT),GR 1.20,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Prenatal antidepressant exposure and child development at kindergarten age: a population-based study,Done,9/12/2020,10.1038/s41390-020-01269-6,Yes,Canada,Public,Not reported,,Not reported,1,MSP + DAD + BC PharmaNet + Perinatal Registry + Humain Early Learning Partnership Data,British Columbia health databases,Both linked,Canada,Safety,ITT,16,EDI subscale Readiness,Binary,1,1,Psychiatry,Prenatal antidepressant exposure,Pharmacological,N06A,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,365,"Outpatient diagnoses,Inpatient procedures (including tests),Inpatient diagnoses,Medical encounters,Outpatient drug dispensation",,"ICD-10,ICD-9",Other,Generic drug names,Other,Multiple ICD granularity,,,"""Once, sporadic, frequent""",Schneeweiss citation,11,500,Yes,Schneeweiss citation,,Not reported,Matching,,To adjust after hdPS matching/weighting,Yes,Logistic regression,3661,91051,Yes,Yes,2253,5609,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Description parameters for feature generation,Specify software,Describe feature recurrence assessment method",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.13,Serious,Low,Low,Low,NI,Low,NI,Serious
Prenatal Opioid Analgesics and the Risk of Adverse  Birth Outcomes,Done,3/5/2021,10.1097/EDE.0000000000001328,Yes,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Safety,ITT,4,Preterm birth / SGA birth / Stillbirth / NAS,Binary,1,1,Pain medicine,Prenatal Opioid Analgesics,Pharmacological,N02A,Standard care,Unexposed,Prevalent user,Not reported,Not reported,hdPS,No,Primary analysis,4,365,"Outpatient drug dispensation,Medical encounters,Emergency visits (all),Inpatient diagnoses",,"ICD-9,ICD-10",,,,,,,Schneeweiss citation,Schneeweiss citation,19,,No,Schneeweiss citation,,Not reported,Weighting,,No additional variables used with/before/after hdPS,No,Other,25755,601417,Unclear,No,,,Yes,Not reported,,,Not reported,Specify data dimensions,Yes,Propensity score with predefined variables,,Not reported,Not reported,On demand,Not reported,Assignment (ITT),RR 1.3,Serious,Low,Low,Low,NI,Low,NI,Serious
